"","round","contribution","frequency","mean","replicationNumber"
"366",5,10,0.33,4.82,96
"367",6,0,0.3,5.14,96
"368",6,2,0.09,5.14,96
"369",6,4,0.15,5.14,96
"370",6,6,0.06,5.14,96
"371",6,8,0,5.14,96
"372",6,10,0.4,5.14,96
"373",7,0,0.32,4.86,96
"374",7,2,0.13,4.86,96
"375",7,4,0.13,4.86,96
"376",7,6,0.03,4.86,96
"377",7,8,0,4.86,96
"378",7,10,0.39,4.86,96
"379",8,0,0.38,4.6,96
"380",8,2,0.08,4.6,96
"381",8,4,0.14,4.6,96
"382",8,6,0.03,4.6,96
"383",8,8,0,4.6,96
"384",8,10,0.37,4.6,96
"385",9,0,0.45,4.44,96
"386",9,2,0.06,4.44,96
"387",9,4,0.09,4.44,96
"388",9,6,0.01,4.44,96
"389",9,8,0,4.44,96
"390",9,10,0.39,4.44,96
"391",10,0,0.47,4.6,96
"392",10,2,0.03,4.6,96
"393",10,4,0.07,4.6,96
"394",10,6,0.01,4.6,96
"395",10,8,0,4.6,96
"396",10,10,0.42,4.6,96
"397",11,0,0.52,4.06,96
"398",11,2,0.03,4.06,96
"399",11,4,0.07,4.06,96
"400",11,6,0.02,4.06,96
"401",11,8,0,4.06,96
"402",11,10,0.36,4.06,96
"403",12,0,0.52,3.86,96
"404",12,2,0.04,3.86,96
"405",12,4,0.09,3.86,96
"406",12,6,0.02,3.86,96
"407",12,8,0,3.86,96
"408",12,10,0.33,3.86,96
"409",13,0,0.51,3.94,96
"410",13,2,0.06,3.94,96
"411",13,4,0.06,3.94,96
"412",13,6,0.03,3.94,96
"413",13,8,0,3.94,96
"414",13,10,0.34,3.94,96
"415",14,0,0.57,3.66,96
"416",14,2,0.04,3.66,96
"417",14,4,0.04,3.66,96
"418",14,6,0.02,3.66,96
"419",14,8,0,3.66,96
"420",14,10,0.33,3.66,96
"421",1,0,0.14,4.2,95
"422",1,2,0.24,4.2,95
"423",1,4,0.28,4.2,95
"424",1,6,0.17,4.2,95
"425",1,8,0.06,4.2,95
"426",1,10,0.11,4.2,95
"427",2,0,0.16,4.58,95
"428",2,2,0.19,4.58,95
"429",2,4,0.26,4.58,95
"430",2,6,0.16,4.58,95
"431",2,8,0.05,4.58,95
"432",2,10,0.18,4.58,95
"433",3,0,0.23,4.16,95
"434",3,2,0.2,4.16,95
"435",3,4,0.22,4.16,95
"436",3,6,0.15,4.16,95
"437",3,8,0.01,4.16,95
"438",3,10,0.19,4.16,95
"439",4,0,0.34,3.78,95
"440",4,2,0.13,3.78,95
"441",4,4,0.21,3.78,95
"442",4,6,0.13,3.78,95
"443",4,8,0,3.78,95
"444",4,10,0.19,3.78,95
"445",5,0,0.36,4.04,95
"446",5,2,0.11,4.04,95
"447",5,4,0.18,4.04,95
"448",5,6,0.1,4.04,95
"449",5,8,0,4.04,95
"450",5,10,0.25,4.04,95
"451",6,0,0.25,4.88,95
"452",6,2,0.13,4.88,95
"453",6,4,0.19,4.88,95
"454",6,6,0.11,4.88,95
"455",6,8,0,4.88,95
"456",6,10,0.32,4.88,95
"457",7,0,0.26,4.76,95
"458",7,2,0.19,4.76,95
"459",7,4,0.12,4.76,95
"460",7,6,0.1,4.76,95
"461",7,8,0,4.76,95
"462",7,10,0.33,4.76,95
"463",8,0,0.31,4.86,95
"464",8,2,0.16,4.86,95
"465",8,4,0.08,4.86,95
"466",8,6,0.07,4.86,95
"467",8,8,0,4.86,95
"468",8,10,0.38,4.86,95
"469",9,0,0.38,4.04,95
"470",9,2,0.18,4.04,95
"471",9,4,0.08,4.04,95
"472",9,6,0.06,4.04,95
"473",9,8,0,4.04,95
"474",9,10,0.3,4.04,95
"475",10,0,0.27,4.6,95
"476",10,2,0.23,4.6,95
"477",10,4,0.11,4.6,95
"478",10,6,0.05,4.6,95
"479",10,8,0,4.6,95
"480",10,10,0.34,4.6,95
"481",11,0,0.28,5.34,95
"482",11,2,0.14,5.34,95
"483",11,4,0.11,5.34,95
"484",11,6,0.02,5.34,95
"485",11,8,0,5.34,95
"486",11,10,0.45,5.34,95
"487",12,0,0.31,5.26,95
"488",12,2,0.13,5.26,95
"489",12,4,0.08,5.26,95
"490",12,6,0.03,5.26,95
"491",12,8,0,5.26,95
"492",12,10,0.45,5.26,95
"493",13,0,0.3,5.38,95
"494",13,2,0.14,5.38,95
"495",13,4,0.07,5.38,95
"496",13,6,0.02,5.38,95
"497",13,8,0,5.38,95
"498",13,10,0.47,5.38,95
"499",14,0,0.38,4.78,95
"500",14,2,0.13,4.78,95
"501",14,4,0.05,4.78,95
"502",14,6,0.02,4.78,95
"503",14,8,0,4.78,95
"504",14,10,0.42,4.78,95
"505",1,0,0.15,4.74,94
"506",1,2,0.16,4.74,94
"507",1,4,0.25,4.74,94
"508",1,6,0.21,4.74,94
"509",1,8,0.07,4.74,94
"510",1,10,0.16,4.74,94
"511",2,0,0.18,5.04,94
"512",2,2,0.13,5.04,94
"513",2,4,0.23,5.04,94
"514",2,6,0.15,5.04,94
"515",2,8,0.07,5.04,94
"516",2,10,0.24,5.04,94
"517",3,0,0.26,4.62,94
"518",3,2,0.11,4.62,94
"519",3,4,0.2,4.62,94
"520",3,6,0.16,4.62,94
"521",3,8,0.03,4.62,94
"522",3,10,0.24,4.62,94
"523",4,0,0.3,4.64,94
"524",4,2,0.13,4.64,94
"525",4,4,0.12,4.64,94
"526",4,6,0.14,4.64,94
"527",4,8,0.02,4.64,94
"528",4,10,0.29,4.64,94
"529",5,0,0.35,4.6,94
"530",5,2,0.09,4.6,94
"531",5,4,0.06,4.6,94
"532",5,6,0.18,4.6,94
"533",5,8,0.05,4.6,94
"534",5,10,0.27,4.6,94
"535",6,0,0.37,4.88,94
"536",6,2,0.04,4.88,94
"537",6,4,0.07,4.88,94
"538",6,6,0.15,4.88,94
"539",6,8,0.04,4.88,94
"540",6,10,0.33,4.88,94
"541",7,0,0.3,5.58,94
"542",7,2,0.04,5.58,94
"543",7,4,0.06,5.58,94
"544",7,6,0.16,5.58,94
"545",7,8,0.05,5.58,94
"546",7,10,0.39,5.58,94
"547",8,0,0.35,5.4,94
"548",8,2,0.03,5.4,94
"549",8,4,0.05,5.4,94
"550",8,6,0.13,5.4,94
"551",8,8,0.02,5.4,94
"552",8,10,0.42,5.4,94
"553",9,0,0.39,5.08,94
"554",9,2,0.04,5.08,94
"555",9,4,0.02,5.08,94
"556",9,6,0.13,5.08,94
"557",9,8,0.03,5.08,94
"558",9,10,0.39,5.08,94
"559",10,0,0.45,4.84,94
"560",10,2,0.01,4.84,94
"561",10,4,0.01,4.84,94
"562",10,6,0.12,4.84,94
"563",10,8,0.02,4.84,94
"564",10,10,0.39,4.84,94
"565",11,0,0.43,5.18,94
"566",11,2,0.01,5.18,94
"567",11,4,0,5.18,94
"568",11,6,0.09,5.18,94
"569",11,8,0.04,5.18,94
"570",11,10,0.43,5.18,94
"571",12,0,0.44,5.38,94
"572",12,2,0,5.38,94
"573",12,4,0,5.38,94
"574",12,6,0.04,5.38,94
"575",12,8,0.03,5.38,94
"576",12,10,0.49,5.38,94
"577",13,0,0.52,4.72,94
"578",13,2,0,4.72,94
"579",13,4,0,4.72,94
"580",13,6,0.01,4.72,94
"581",13,8,0.02,4.72,94
"582",13,10,0.45,4.72,94
"583",14,0,0.48,5.12,94
"584",14,2,0,5.12,94
"585",14,4,0,5.12,94
"586",14,6,0.01,5.12,94
"587",14,8,0.02,5.12,94
"588",14,10,0.49,5.12,94
"589",1,0,0.16,4.62,93
"590",1,2,0.13,4.62,93
"591",1,4,0.34,4.62,93
"592",1,6,0.13,4.62,93
"593",1,8,0.09,4.62,93
"594",1,10,0.15,4.62,93
"595",2,0,0.18,4.62,93
"596",2,2,0.1,4.62,93
"597",2,4,0.38,4.62,93
"598",2,6,0.1,4.62,93
"599",2,8,0.05,4.62,93
"600",2,10,0.19,4.62,93
"601",3,0,0.25,4.58,93
"602",3,2,0.12,4.58,93
"603",3,4,0.28,4.58,93
"604",3,6,0.05,4.58,93
"605",3,8,0.04,4.58,93
"606",3,10,0.26,4.58,93
"607",4,0,0.22,5,93
"608",4,2,0.11,5,93
"609",4,4,0.28,5,93
"610",4,6,0.04,5,93
"611",4,8,0.04,5,93
"612",4,10,0.31,5,93
"613",5,0,0.31,4.4,93
"614",5,2,0.08,4.4,93
"615",5,4,0.26,4.4,93
"616",5,6,0.06,4.4,93
"617",5,8,0.03,4.4,93
"618",5,10,0.26,4.4,93
"619",6,0,0.32,5.18,93
"620",6,2,0.05,5.18,93
"621",6,4,0.17,5.18,93
"622",6,6,0.04,5.18,93
"623",6,8,0.02,5.18,93
"624",6,10,0.4,5.18,93
"625",7,0,0.4,4.8,93
"626",7,2,0.05,4.8,93
"627",7,4,0.09,4.8,93
"628",7,6,0.06,4.8,93
"629",7,8,0.01,4.8,93
"630",7,10,0.39,4.8,93
"631",8,0,0.37,5.24,93
"632",8,2,0.07,5.24,93
"633",8,4,0.06,5.24,93
"634",8,6,0.03,5.24,93
"635",8,8,0.01,5.24,93
"636",8,10,0.46,5.24,93
"637",9,0,0.37,5.12,93
"638",9,2,0.08,5.12,93
"639",9,4,0.06,5.12,93
"640",9,6,0.04,5.12,93
"641",9,8,0.01,5.12,93
"642",9,10,0.44,5.12,93
"643",10,0,0.37,5.56,93
"644",10,2,0.03,5.56,93
"645",10,4,0.06,5.56,93
"646",10,6,0.02,5.56,93
"647",10,8,0.03,5.56,93
"648",10,10,0.49,5.56,93
"649",11,0,0.42,5.32,93
"650",11,2,0.02,5.32,93
"651",11,4,0.04,5.32,93
"652",11,6,0.01,5.32,93
"653",11,8,0.02,5.32,93
"654",11,10,0.49,5.32,93
"655",12,0,0.45,4.94,93
"656",12,2,0.02,4.94,93
"657",12,4,0.04,4.94,93
"658",12,6,0.04,4.94,93
"659",12,8,0,4.94,93
"660",12,10,0.45,4.94,93
"661",13,0,0.44,5.08,93
"662",13,2,0.02,5.08,93
"663",13,4,0.04,5.08,93
"664",13,6,0.03,5.08,93
"665",13,8,0,5.08,93
"666",13,10,0.47,5.08,93
"667",14,0,0.43,5.28,93
"668",14,2,0.02,5.28,93
"669",14,4,0.03,5.28,93
"670",14,6,0.02,5.28,93
"671",14,8,0,5.28,93
"672",14,10,0.5,5.28,93
"673",1,0,0.15,4.86,92
"674",1,2,0.13,4.86,92
"675",1,4,0.26,4.86,92
"676",1,6,0.24,4.86,92
"677",1,8,0.04,4.86,92
"678",1,10,0.18,4.86,92
"679",2,0,0.22,4.24,92
"680",2,2,0.15,4.24,92
"681",2,4,0.24,4.24,92
"682",2,6,0.22,4.24,92
"683",2,8,0.02,4.24,92
"684",2,10,0.15,4.24,92
"685",3,0,0.28,4.46,92
"686",3,2,0.05,4.46,92
"687",3,4,0.23,4.46,92
"688",3,6,0.22,4.46,92
"689",3,8,0.04,4.46,92
"690",3,10,0.18,4.46,92
"691",4,0,0.34,4.28,92
"692",4,2,0.03,4.28,92
"693",4,4,0.22,4.28,92
"694",4,6,0.16,4.28,92
"695",4,8,0.06,4.28,92
"696",4,10,0.19,4.28,92
"697",5,0,0.31,4.68,92
"698",5,2,0.01,4.68,92
"699",5,4,0.27,4.68,92
"700",5,6,0.1,4.68,92
"701",5,8,0.06,4.68,92
"702",5,10,0.25,4.68,92
"703",6,0,0.35,4.52,92
"704",6,2,0.02,4.52,92
"705",6,4,0.23,4.52,92
"706",6,6,0.08,4.52,92
"707",6,8,0.06,4.52,92
"708",6,10,0.26,4.52,92
"709",7,0,0.39,4.12,92
"710",7,2,0.01,4.12,92
"711",7,4,0.26,4.12,92
"712",7,6,0.06,4.12,92
"713",7,8,0.05,4.12,92
"714",7,10,0.23,4.12,92
"715",8,0,0.46,3.44,92
"716",8,2,0.01,3.44,92
"717",8,4,0.27,3.44,92
"718",8,6,0.05,3.44,92
"719",8,8,0.03,3.44,92
"720",8,10,0.18,3.44,92
"721",9,0,0.43,3.98,92
"722",9,2,0.01,3.98,92
"723",9,4,0.21,3.98,92
"724",9,6,0.09,3.98,92
"725",9,8,0.01,3.98,92
"726",9,10,0.25,3.98,92
"727",10,0,0.41,4.36,92
"728",10,2,0.01,4.36,92
"729",10,4,0.2,4.36,92
"730",10,6,0.06,4.36,92
"731",10,8,0.01,4.36,92
"732",10,10,0.31,4.36,92
"733",11,0,0.37,4.7,92
"734",11,2,0.02,4.7,92
"735",11,4,0.18,4.7,92
"736",11,6,0.09,4.7,92
"737",11,8,0,4.7,92
"738",11,10,0.34,4.7,92
"739",12,0,0.39,4.5,92
"740",12,2,0.02,4.5,92
"741",12,4,0.16,4.5,92
"742",12,6,0.12,4.5,92
"743",12,8,0,4.5,92
"744",12,10,0.31,4.5,92
"745",13,0,0.33,4.82,92
"746",13,2,0.02,4.82,92
"747",13,4,0.2,4.82,92
"748",13,6,0.13,4.82,92
"749",13,8,0,4.82,92
"750",13,10,0.32,4.82,92
"751",14,0,0.33,4.92,92
"752",14,2,0,4.92,92
"753",14,4,0.21,4.92,92
"754",14,6,0.13,4.92,92
"755",14,8,0,4.92,92
"756",14,10,0.33,4.92,92
"757",1,0,0.13,4.34,91
"758",1,2,0.2,4.34,91
"759",1,4,0.36,4.34,91
"760",1,6,0.12,4.34,91
"761",1,8,0.06,4.34,91
"762",1,10,0.13,4.34,91
"763",2,0,0.17,4.44,91
"764",2,2,0.16,4.44,91
"765",2,4,0.36,4.44,91
"766",2,6,0.08,4.44,91
"767",2,8,0.05,4.44,91
"768",2,10,0.18,4.44,91
"769",3,0,0.23,4.78,91
"770",3,2,0.12,4.78,91
"771",3,4,0.23,4.78,91
"772",3,6,0.12,4.78,91
"773",3,8,0.05,4.78,91
"774",3,10,0.25,4.78,91
"775",4,0,0.29,4.4,91
"776",4,2,0.12,4.4,91
"777",4,4,0.24,4.4,91
"778",4,6,0.07,4.4,91
"779",4,8,0.01,4.4,91
"780",4,10,0.27,4.4,91
"781",5,0,0.28,4.64,91
"782",5,2,0.12,4.64,91
"783",5,4,0.22,4.64,91
"784",5,6,0.07,4.64,91
"785",5,8,0,4.64,91
"786",5,10,0.31,4.64,91
"787",6,0,0.27,4.84,91
"788",6,2,0.13,4.84,91
"789",6,4,0.19,4.84,91
"790",6,6,0.07,4.84,91
"791",6,8,0,4.84,91
"792",6,10,0.34,4.84,91
"793",7,0,0.31,5.18,91
"794",7,2,0.05,5.18,91
"795",7,4,0.18,5.18,91
"796",7,6,0.06,5.18,91
"797",7,8,0,5.18,91
"798",7,10,0.4,5.18,91
"799",8,0,0.33,4.84,91
"800",8,2,0.07,4.84,91
"801",8,4,0.19,4.84,91
"802",8,6,0.04,4.84,91
"803",8,8,0,4.84,91
"804",8,10,0.37,4.84,91
"805",9,0,0.41,4.2,91
"806",9,2,0.06,4.2,91
"807",9,4,0.19,4.2,91
"808",9,6,0.02,4.2,91
"809",9,8,0,4.2,91
"810",9,10,0.32,4.2,91
"811",10,0,0.41,4.38,91
"812",10,2,0.07,4.38,91
"813",10,4,0.14,4.38,91
"814",10,6,0.03,4.38,91
"815",10,8,0,4.38,91
"816",10,10,0.35,4.38,91
"817",11,0,0.43,4.04,91
"818",11,2,0.09,4.04,91
"819",11,4,0.11,4.04,91
"820",11,6,0.07,4.04,91
"821",11,8,0,4.04,91
"822",11,10,0.3,4.04,91
"823",12,0,0.36,4.62,91
"824",12,2,0.11,4.62,91
"825",12,4,0.13,4.62,91
"826",12,6,0.03,4.62,91
"827",12,8,0,4.62,91
"828",12,10,0.37,4.62,91
"829",13,0,0.43,4.14,91
"830",13,2,0.12,4.14,91
"831",13,4,0.08,4.14,91
