"","round","contribution","frequency","mean","replicationNumber"
"142",10,6,0.167,4.724,99
"143",10,8,0.055,4.724,99
"144",10,10,0.138,4.724,99
"145",11,0,0.109,4.672,99
"146",11,2,0.148,4.672,99
"147",11,4,0.385,4.672,99
"148",11,6,0.157,4.672,99
"149",11,8,0.058,4.672,99
"150",11,10,0.143,4.672,99
"151",12,0,0.105,4.726,99
"152",12,2,0.155,4.726,99
"153",12,4,0.37,4.726,99
"154",12,6,0.165,4.726,99
"155",12,8,0.052,4.726,99
"156",12,10,0.153,4.726,99
"157",13,0,0.103,4.964,99
"158",13,2,0.133,4.964,99
"159",13,4,0.361,4.964,99
"160",13,6,0.161,4.964,99
"161",13,8,0.066,4.964,99
"162",13,10,0.176,4.964,99
"163",14,0,0.086,4.996,99
"164",14,2,0.135,4.996,99
"165",14,4,0.391,4.996,99
"166",14,6,0.146,4.996,99
"167",14,8,0.067,4.996,99
"168",14,10,0.175,4.996,99
"169",1,0,0.1,4.406,98
"170",1,2,0.207,4.406,98
"171",1,4,0.341,4.406,98
"172",1,6,0.187,4.406,98
"173",1,8,0.072,4.406,98
"174",1,10,0.093,4.406,98
"175",2,0,0.098,4.482,98
"176",2,2,0.193,4.482,98
"177",2,4,0.348,4.482,98
"178",2,6,0.19,4.482,98
"179",2,8,0.073,4.482,98
"180",2,10,0.098,4.482,98
"181",3,0,0.097,4.516,98
"182",3,2,0.206,4.516,98
"183",3,4,0.331,4.516,98
"184",3,6,0.181,4.516,98
"185",3,8,0.078,4.516,98
"186",3,10,0.107,4.516,98
"187",4,0,0.1,4.6,98
"188",4,2,0.204,4.6,98
"189",4,4,0.331,4.6,98
"190",4,6,0.155,4.6,98
"191",4,8,0.081,4.6,98
"192",4,10,0.129,4.6,98
"193",5,0,0.101,4.704,98
"194",5,2,0.186,4.704,98
"195",5,4,0.346,4.704,98
"196",5,6,0.139,4.704,98
"197",5,8,0.083,4.704,98
"198",5,10,0.145,4.704,98
"199",6,0,0.096,4.686,98
"200",6,2,0.211,4.686,98
"201",6,4,0.326,4.686,98
"202",6,6,0.133,4.686,98
"203",6,8,0.089,4.686,98
"204",6,10,0.145,4.686,98
"205",7,0,0.082,4.748,98
"206",7,2,0.204,4.748,98
"207",7,4,0.343,4.748,98
"208",7,6,0.138,4.748,98
"209",7,8,0.095,4.748,98
"210",7,10,0.138,4.748,98
"211",8,0,0.075,4.92,98
"212",8,2,0.184,4.92,98
"213",8,4,0.352,4.92,98
"214",8,6,0.142,4.92,98
"215",8,8,0.089,4.92,98
"216",8,10,0.158,4.92,98
"217",9,0,0.097,4.82,98
"218",9,2,0.167,4.82,98
"219",9,4,0.366,4.82,98
"220",9,6,0.125,4.82,98
"221",9,8,0.089,4.82,98
"222",9,10,0.156,4.82,98
"223",10,0,0.082,4.86,98
"224",10,2,0.172,4.86,98
"225",10,4,0.389,4.86,98
"226",10,6,0.112,4.86,98
"227",10,8,0.081,4.86,98
"228",10,10,0.164,4.86,98
"229",11,0,0.084,4.808,98
"230",11,2,0.185,4.808,98
"231",11,4,0.383,4.808,98
"232",11,6,0.103,4.808,98
"233",11,8,0.081,4.808,98
"234",11,10,0.164,4.808,98
"235",12,0,0.069,4.87,98
"236",12,2,0.173,4.87,98
"237",12,4,0.41,4.87,98
"238",12,6,0.113,4.87,98
"239",12,8,0.072,4.87,98
"240",12,10,0.163,4.87,98
"241",13,0,0.077,5,98
"242",13,2,0.161,5,98
"243",13,4,0.389,5,98
"244",13,6,0.112,5,98
"245",13,8,0.08,5,98
"246",13,10,0.181,5,98
"247",14,0,0.078,4.858,98
"248",14,2,0.16,4.858,98
"249",14,4,0.411,4.858,98
"250",14,6,0.122,4.858,98
"251",14,8,0.064,4.858,98
"252",14,10,0.165,4.858,98
"253",1,0,0.102,4.612,97
"254",1,2,0.17,4.612,97
"255",1,4,0.346,4.612,97
"256",1,6,0.203,4.612,97
"257",1,8,0.06,4.612,97
"258",1,10,0.119,4.612,97
"259",2,0,0.088,4.754,97
"260",2,2,0.172,4.754,97
"261",2,4,0.345,4.754,97
"262",2,6,0.201,4.754,97
"263",2,8,0.058,4.754,97
"264",2,10,0.136,4.754,97
"265",3,0,0.093,4.74,97
"266",3,2,0.177,4.74,97
"267",3,4,0.332,4.74,97
"268",3,6,0.2,4.74,97
"269",3,8,0.061,4.74,97
"270",3,10,0.137,4.74,97
"271",4,0,0.085,4.782,97
"272",4,2,0.193,4.782,97
"273",4,4,0.317,4.782,97
"274",4,6,0.2,4.782,97
"275",4,8,0.061,4.782,97
"276",4,10,0.144,4.782,97
"277",5,0,0.086,4.798,97
"278",5,2,0.215,4.798,97
"279",5,4,0.293,4.798,97
"280",5,6,0.184,4.798,97
"281",5,8,0.064,4.798,97
"282",5,10,0.158,4.798,97
"283",6,0,0.074,4.802,97
"284",6,2,0.238,4.802,97
"285",6,4,0.284,4.802,97
"286",6,6,0.185,4.802,97
"287",6,8,0.055,4.802,97
"288",6,10,0.164,4.802,97
"289",7,0,0.064,4.974,97
"290",7,2,0.229,4.974,97
"291",7,4,0.27,4.974,97
"292",7,6,0.203,4.974,97
"293",7,8,0.061,4.974,97
"294",7,10,0.173,4.974,97
"295",8,0,0.061,4.954,97
"296",8,2,0.239,4.954,97
"297",8,4,0.262,4.954,97
"298",8,6,0.212,4.954,97
"299",8,8,0.052,4.954,97
"300",8,10,0.174,4.954,97
"301",9,0,0.065,4.978,97
"302",9,2,0.224,4.978,97
"303",9,4,0.268,4.978,97
"304",9,6,0.214,4.978,97
"305",9,8,0.058,4.978,97
"306",9,10,0.171,4.978,97
"307",10,0,0.065,5.048,97
"308",10,2,0.21,5.048,97
"309",10,4,0.278,5.048,97
"310",10,6,0.215,5.048,97
"311",10,8,0.047,5.048,97
"312",10,10,0.185,5.048,97
"313",11,0,0.073,5.024,97
"314",11,2,0.215,5.024,97
"315",11,4,0.268,5.024,97
"316",11,6,0.211,5.024,97
"317",11,8,0.037,5.024,97
"318",11,10,0.196,5.024,97
"319",12,0,0.092,4.824,97
"320",12,2,0.219,4.824,97
"321",12,4,0.288,4.824,97
"322",12,6,0.175,4.824,97
"323",12,8,0.038,4.824,97
"324",12,10,0.188,4.824,97
"325",13,0,0.105,4.734,97
"326",13,2,0.199,4.734,97
"327",13,4,0.303,4.734,97
"328",13,6,0.181,4.734,97
"329",13,8,0.041,4.734,97
"330",13,10,0.171,4.734,97
"331",14,0,0.105,4.814,97
"332",14,2,0.194,4.814,97
"333",14,4,0.296,4.814,97
"334",14,6,0.181,4.814,97
"335",14,8,0.042,4.814,97
"336",14,10,0.182,4.814,97
"337",1,0,0.084,4.678,96
"338",1,2,0.196,4.678,96
"339",1,4,0.322,4.678,96
"340",1,6,0.207,4.678,96
"341",1,8,0.077,4.678,96
"342",1,10,0.114,4.678,96
"343",2,0,0.082,4.616,96
"344",2,2,0.198,4.616,96
"345",2,4,0.342,4.616,96
"346",2,6,0.195,4.616,96
"347",2,8,0.074,4.616,96
"348",2,10,0.109,4.616,96
"349",3,0,0.086,4.534,96
"350",3,2,0.215,4.534,96
"351",3,4,0.327,4.534,96
"352",3,6,0.196,4.534,96
"353",3,8,0.07,4.534,96
"354",3,10,0.106,4.534,96
"355",4,0,0.074,4.628,96
"356",4,2,0.204,4.628,96
"357",4,4,0.341,4.628,96
"358",4,6,0.203,4.628,96
"359",4,8,0.071,4.628,96
"360",4,10,0.107,4.628,96
"361",5,0,0.064,4.666,96
"362",5,2,0.202,4.666,96
"363",5,4,0.35,4.666,96
"364",5,6,0.203,4.666,96
"365",5,8,0.083,4.666,96
"366",5,10,0.098,4.666,96
"367",6,0,0.067,4.644,96
"368",6,2,0.198,4.644,96
"369",6,4,0.348,4.644,96
"370",6,6,0.214,4.644,96
"371",6,8,0.079,4.644,96
"372",6,10,0.094,4.644,96
"373",7,0,0.072,4.696,96
"374",7,2,0.186,4.696,96
"375",7,4,0.343,4.696,96
"376",7,6,0.217,4.696,96
"377",7,8,0.085,4.696,96
"378",7,10,0.097,4.696,96
"379",8,0,0.081,4.624,96
"380",8,2,0.181,4.624,96
"381",8,4,0.353,4.624,96
"382",8,6,0.218,4.624,96
"383",8,8,0.064,4.624,96
"384",8,10,0.103,4.624,96
"385",9,0,0.062,4.768,96
"386",9,2,0.179,4.768,96
"387",9,4,0.36,4.768,96
"388",9,6,0.227,4.768,96
"389",9,8,0.056,4.768,96
"390",9,10,0.116,4.768,96
"391",10,0,0.069,4.672,96
"392",10,2,0.18,4.672,96
"393",10,4,0.378,4.672,96
"394",10,6,0.206,4.672,96
"395",10,8,0.053,4.672,96
"396",10,10,0.114,4.672,96
"397",11,0,0.071,4.64,96
"398",11,2,0.173,4.64,96
"399",11,4,0.381,4.64,96
"400",11,6,0.222,4.64,96
"401",11,8,0.046,4.64,96
"402",11,10,0.107,4.64,96
"403",12,0,0.075,4.696,96
"404",12,2,0.167,4.696,96
"405",12,4,0.374,4.696,96
"406",12,6,0.219,4.696,96
"407",12,8,0.049,4.696,96
"408",12,10,0.116,4.696,96
"409",13,0,0.066,4.734,96
"410",13,2,0.179,4.734,96
"411",13,4,0.364,4.734,96
"412",13,6,0.22,4.734,96
"413",13,8,0.055,4.734,96
"414",13,10,0.116,4.734,96
"415",14,0,0.074,4.708,96
"416",14,2,0.179,4.708,96
"417",14,4,0.362,4.708,96
"418",14,6,0.214,4.708,96
"419",14,8,0.046,4.708,96
"420",14,10,0.125,4.708,96
"421",1,0,0.086,4.678,95
"422",1,2,0.198,4.678,95
"423",1,4,0.313,4.678,95
"424",1,6,0.221,4.678,95
"425",1,8,0.058,4.678,95
"426",1,10,0.124,4.678,95
"427",2,0,0.068,4.712,95
"428",2,2,0.202,4.712,95
"429",2,4,0.333,4.712,95
"430",2,6,0.218,4.712,95
"431",2,8,0.061,4.712,95
"432",2,10,0.118,4.712,95
"433",3,0,0.062,4.716,95
"434",3,2,0.196,4.716,95
"435",3,4,0.339,4.716,95
"436",3,6,0.237,4.716,95
"437",3,8,0.057,4.716,95
"438",3,10,0.109,4.716,95
"439",4,0,0.053,4.826,95
"440",4,2,0.205,4.826,95
"441",4,4,0.324,4.826,95
"442",4,6,0.233,4.826,95
"443",4,8,0.064,4.826,95
"444",4,10,0.121,4.826,95
"445",5,0,0.051,4.808,95
"446",5,2,0.219,4.808,95
"447",5,4,0.31,4.808,95
"448",5,6,0.231,4.808,95
"449",5,8,0.073,4.808,95
"450",5,10,0.116,4.808,95
"451",6,0,0.046,4.876,95
"452",6,2,0.231,4.876,95
"453",6,4,0.283,4.876,95
"454",6,6,0.229,4.876,95
"455",6,8,0.101,4.876,95
"456",6,10,0.11,4.876,95
"457",7,0,0.046,4.82,95
"458",7,2,0.223,4.82,95
"459",7,4,0.309,4.82,95
"460",7,6,0.22,4.82,95
"461",7,8,0.101,4.82,95
"462",7,10,0.101,4.82,95
"463",8,0,0.048,4.922,95
"464",8,2,0.206,4.922,95
"465",8,4,0.321,4.922,95
"466",8,6,0.197,4.922,95
"467",8,8,0.118,4.922,95
"468",8,10,0.11,4.922,95
"469",9,0,0.034,4.998,95
"470",9,2,0.214,4.998,95
"471",9,4,0.321,4.998,95
"472",9,6,0.195,4.998,95
"473",9,8,0.122,4.998,95
"474",9,10,0.114,4.998,95
"475",10,0,0.047,4.894,95
"476",10,2,0.217,4.894,95
"477",10,4,0.315,4.894,95
"478",10,6,0.185,4.894,95
"479",10,8,0.135,4.894,95
"480",10,10,0.101,4.894,95
"481",11,0,0.041,4.884,95
"482",11,2,0.234,4.884,95
"483",11,4,0.3,4.884,95
"484",11,6,0.198,4.884,95
"485",11,8,0.121,4.884,95
"486",11,10,0.106,4.884,95
"487",12,0,0.042,4.948,95
"488",12,2,0.226,4.948,95
"489",12,4,0.299,4.948,95
"490",12,6,0.199,4.948,95
"491",12,8,0.117,4.948,95
"492",12,10,0.117,4.948,95
"493",13,0,0.042,4.96,95
"494",13,2,0.222,4.96,95
"495",13,4,0.301,4.96,95
"496",13,6,0.21,4.96,95
"497",13,8,0.099,4.96,95
"498",13,10,0.126,4.96,95
"499",14,0,0.033,4.938,95
"500",14,2,0.222,4.938,95
"501",14,4,0.316,4.938,95
"502",14,6,0.218,4.938,95
"503",14,8,0.094,4.938,95
"504",14,10,0.117,4.938,95
"505",1,0,0.104,4.594,94
"506",1,2,0.203,4.594,94
"507",1,4,0.313,4.594,94
"508",1,6,0.173,4.594,94
"509",1,8,0.086,4.594,94
"510",1,10,0.121,4.594,94
"511",2,0,0.097,4.598,94
"512",2,2,0.22,4.598,94
"513",2,4,0.311,4.598,94
"514",2,6,0.165,4.598,94
"515",2,8,0.073,4.598,94
"516",2,10,0.134,4.598,94
"517",3,0,0.099,4.646,94
"518",3,2,0.207,4.646,94
"519",3,4,0.298,4.646,94
"520",3,6,0.196,4.646,94
"521",3,8,0.068,4.646,94
"522",3,10,0.132,4.646,94
"523",4,0,0.102,4.628,94
"524",4,2,0.22,4.628,94
"525",4,4,0.274,4.628,94
"526",4,6,0.202,4.628,94
"527",4,8,0.07,4.628,94
"528",4,10,0.132,4.628,94
"529",5,0,0.109,4.586,94
"530",5,2,0.218,4.586,94
"531",5,4,0.267,4.586,94
"532",5,6,0.216,4.586,94
"533",5,8,0.057,4.586,94
"534",5,10,0.133,4.586,94
"535",6,0,0.108,4.528,94
"536",6,2,0.203,4.528,94
"537",6,4,0.286,4.528,94
"538",6,6,0.232,4.528,94
"539",6,8,0.062,4.528,94
"540",6,10,0.109,4.528,94
"541",7,0,0.1,4.49,94
"542",7,2,0.222,4.49,94
"543",7,4,0.278,4.49,94
"544",7,6,0.241,4.49,94
"545",7,8,0.051,4.49,94
"546",7,10,0.108,4.49,94
"547",8,0,0.105,4.41,94
"548",8,2,0.231,4.41,94
"549",8,4,0.268,4.41,94
"550",8,6,0.243,4.41,94
"551",8,8,0.056,4.41,94
"552",8,10,0.097,4.41,94
"553",9,0,0.093,4.464,94
"554",9,2,0.226,4.464,94
"555",9,4,0.297,4.464,94
"556",9,6,0.224,4.464,94
"557",9,8,0.06,4.464,94
"558",9,10,0.1,4.464,94
"559",10,0,0.109,4.436,94
"560",10,2,0.218,4.436,94
"561",10,4,0.272,4.436,94
"562",10,6,0.242,4.436,94
"563",10,8,0.065,4.436,94
"564",10,10,0.094,4.436,94
"565",11,0,0.116,4.396,94
"566",11,2,0.215,4.396,94
"567",11,4,0.275,4.396,94
"568",11,6,0.244,4.396,94
"569",11,8,0.049,4.396,94
"570",11,10,0.101,4.396,94
"571",12,0,0.123,4.362,94
"572",12,2,0.211,4.362,94
"573",12,4,0.274,4.362,94
"574",12,6,0.245,4.362,94
"575",12,8,0.048,4.362,94
"576",12,10,0.099,4.362,94
"577",13,0,0.131,4.356,94
"578",13,2,0.191,4.356,94
"579",13,4,0.291,4.356,94
"580",13,6,0.238,4.356,94
"581",13,8,0.054,4.356,94
"582",13,10,0.095,4.356,94
"583",14,0,0.127,4.454,94
"584",14,2,0.185,4.454,94
"585",14,4,0.291,4.454,94
"586",14,6,0.234,4.454,94
"587",14,8,0.057,4.454,94
"588",14,10,0.106,4.454,94
"589",1,0,0.08,4.57,93
"590",1,2,0.219,4.57,93
"591",1,4,0.331,4.57,93
"592",1,6,0.184,4.57,93
"593",1,8,0.078,4.57,93
"594",1,10,0.108,4.57,93
"595",2,0,0.083,4.594,93
"596",2,2,0.194,4.594,93
"597",2,4,0.353,4.594,93
"598",2,6,0.19,4.594,93
"599",2,8,0.073,4.594,93
"600",2,10,0.107,4.594,93
"601",3,0,0.089,4.538,93
"602",3,2,0.199,4.538,93
"603",3,4,0.347,4.538,93
"604",3,6,0.189,4.538,93
"605",3,8,0.071,4.538,93
"606",3,10,0.105,4.538,93
"607",4,0,0.079,4.542,93
"608",4,2,0.207,4.542,93
"609",4,4,0.353,4.542,93
"610",4,6,0.188,4.542,93
"611",4,8,0.071,4.542,93
"612",4,10,0.102,4.542,93
"613",5,0,0.087,4.488,93
"614",5,2,0.201,4.488,93
"615",5,4,0.346,4.488,93
"616",5,6,0.209,4.488,93
"617",5,8,0.061,4.488,93
"618",5,10,0.096,4.488,93
"619",6,0,0.09,4.48,93
"620",6,2,0.204,4.48,93
"621",6,4,0.344,4.48,93
"622",6,6,0.203,4.48,93
"623",6,8,0.056,4.48,93
"624",6,10,0.103,4.48,93
"625",7,0,0.091,4.636,93
"626",7,2,0.192,4.636,93
"627",7,4,0.337,4.636,93
"628",7,6,0.189,4.636,93
"629",7,8,0.07,4.636,93
"630",7,10,0.121,4.636,93
"631",8,0,0.085,4.798,93
"632",8,2,0.19,4.798,93
"633",8,4,0.331,4.798,93
"634",8,6,0.176,4.798,93
"635",8,8,0.071,4.798,93
"636",8,10,0.147,4.798,93
"637",9,0,0.093,4.802,93
"638",9,2,0.195,4.802,93
"639",9,4,0.314,4.802,93
"640",9,6,0.169,4.802,93
"641",9,8,0.074,4.802,93
"642",9,10,0.155,4.802,93
"643",10,0,0.091,4.862,93
"644",10,2,0.19,4.862,93
"645",10,4,0.321,4.862,93
"646",10,6,0.155,4.862,93
"647",10,8,0.081,4.862,93
"648",10,10,0.162,4.862,93
"649",11,0,0.103,4.908,93
"650",11,2,0.179,4.908,93
"651",11,4,0.314,4.908,93
"652",11,6,0.143,4.908,93
"653",11,8,0.087,4.908,93
"654",11,10,0.174,4.908,93
"655",12,0,0.098,5.032,93
"656",12,2,0.181,5.032,93
"657",12,4,0.298,5.032,93
"658",12,6,0.14,5.032,93
"659",12,8,0.096,5.032,93
"660",12,10,0.187,5.032,93
"661",13,0,0.098,4.928,93
"662",13,2,0.188,4.928,93
"663",13,4,0.314,4.928,93
"664",13,6,0.134,4.928,93
"665",13,8,0.084,4.928,93
"666",13,10,0.182,4.928,93
"667",14,0,0.104,5.016,93
"668",14,2,0.177,5.016,93
"669",14,4,0.317,5.016,93
"670",14,6,0.117,5.016,93
"671",14,8,0.079,5.016,93
"672",14,10,0.206,5.016,93
"673",1,0,0.092,4.524,92
"674",1,2,0.207,4.524,92
"675",1,4,0.34,4.524,92
"676",1,6,0.181,4.524,92
"677",1,8,0.068,4.524,92
"678",1,10,0.112,4.524,92
"679",2,0,0.071,4.662,92
"680",2,2,0.212,4.662,92
"681",2,4,0.34,4.662,92
"682",2,6,0.185,4.662,92
"683",2,8,0.076,4.662,92
"684",2,10,0.116,4.662,92
"685",3,0,0.069,4.668,92
"686",3,2,0.211,4.668,92
"687",3,4,0.341,4.668,92
"688",3,6,0.187,4.668,92
"689",3,8,0.08,4.668,92
"690",3,10,0.112,4.668,92
"691",4,0,0.063,4.668,92
"692",4,2,0.211,4.668,92
"693",4,4,0.352,4.668,92
"694",4,6,0.186,4.668,92
"695",4,8,0.079,4.668,92
"696",4,10,0.109,4.668,92
"697",5,0,0.066,4.578,92
"698",5,2,0.196,4.578,92
"699",5,4,0.372,4.578,92
"700",5,6,0.2,4.578,92
"701",5,8,0.081,4.578,92
"702",5,10,0.085,4.578,92
"703",6,0,0.06,4.638,92
"704",6,2,0.19,4.638,92
"705",6,4,0.38,4.638,92
"706",6,6,0.2,4.638,92
"707",6,8,0.081,4.638,92
"708",6,10,0.089,4.638,92
"709",7,0,0.066,4.588,92
"710",7,2,0.201,4.588,92
"711",7,4,0.369,4.588,92
"712",7,6,0.19,4.588,92
"713",7,8,0.085,4.588,92
"714",7,10,0.089,4.588,92
"715",8,0,0.059,4.712,92
"716",8,2,0.192,4.712,92
"717",8,4,0.371,4.712,92
"718",8,6,0.19,4.712,92
"719",8,8,0.088,4.712,92
"720",8,10,0.1,4.712,92
"721",9,0,0.057,4.748,92
"722",9,2,0.193,4.748,92
"723",9,4,0.369,4.748,92
"724",9,6,0.187,4.748,92
"725",9,8,0.088,4.748,92
"726",9,10,0.106,4.748,92
"727",10,0,0.064,4.85,92
"728",10,2,0.196,4.85,92
"729",10,4,0.345,4.85,92
"730",10,6,0.176,4.85,92
"731",10,8,0.084,4.85,92
"732",10,10,0.135,4.85,92
"733",11,0,0.057,4.946,92
"734",11,2,0.205,4.946,92
"735",11,4,0.311,4.946,92
"736",11,6,0.199,4.946,92
"737",11,8,0.091,4.946,92
"738",11,10,0.137,4.946,92
"739",12,0,0.054,4.998,92
"740",12,2,0.2,4.998,92
"741",12,4,0.304,4.998,92
"742",12,6,0.209,4.998,92
"743",12,8,0.101,4.998,92
"744",12,10,0.132,4.998,92
"745",13,0,0.061,5.054,92
"746",13,2,0.175,5.054,92
"747",13,4,0.316,5.054,92
"748",13,6,0.211,5.054,92
"749",13,8,0.098,5.054,92
"750",13,10,0.139,5.054,92
"751",14,0,0.049,5.048,92
"752",14,2,0.173,5.048,92
"753",14,4,0.345,5.048,92
"754",14,6,0.201,5.048,92
"755",14,8,0.102,5.048,92
"756",14,10,0.13,5.048,92
"757",1,0,0.104,4.486,91
"758",1,2,0.196,4.486,91
"759",1,4,0.335,4.486,91
"760",1,6,0.195,4.486,91
"761",1,8,0.058,4.486,91
"762",1,10,0.112,4.486,91
"763",2,0,0.094,4.492,91
"764",2,2,0.193,4.492,91
"765",2,4,0.345,4.492,91
"766",2,6,0.211,4.492,91
"767",2,8,0.055,4.492,91
"768",2,10,0.102,4.492,91
"769",3,0,0.104,4.32,91
"770",3,2,0.198,4.32,91
"771",3,4,0.358,4.32,91
"772",3,6,0.207,4.32,91
"773",3,8,0.04,4.32,91
"774",3,10,0.093,4.32,91
"775",4,0,0.094,4.33,91
"776",4,2,0.204,4.33,91
"777",4,4,0.358,4.33,91
"778",4,6,0.222,4.33,91
"779",4,8,0.031,4.33,91
"780",4,10,0.091,4.33,91
"781",5,0,0.088,4.352,91
"782",5,2,0.201,4.352,91
"783",5,4,0.358,4.352,91
"784",5,6,0.236,4.352,91
"785",5,8,0.034,4.352,91
"786",5,10,0.083,4.352,91
"787",6,0,0.085,4.452,91
"788",6,2,0.21,4.452,91
"789",6,4,0.341,4.452,91
"790",6,6,0.228,4.452,91
"791",6,8,0.03,4.452,91
"792",6,10,0.106,4.452,91
"793",7,0,0.082,4.508,91
"794",7,2,0.222,4.508,91
"795",7,4,0.31,4.508,91
"796",7,6,0.244,4.508,91
"797",7,8,0.03,4.508,91
"798",7,10,0.112,4.508,91
"799",8,0,0.064,4.53,91
"800",8,2,0.222,4.53,91
"801",8,4,0.335,4.53,91
"802",8,6,0.245,4.53,91
"803",8,8,0.032,4.53,91
"804",8,10,0.102,4.53,91
"805",9,0,0.056,4.414,91
"806",9,2,0.272,4.414,91
"807",9,4,0.31,4.414,91
"808",9,6,0.231,4.414,91
"809",9,8,0.033,4.414,91
"810",9,10,0.098,4.414,91
"811",10,0,0.054,4.41,91
"812",10,2,0.274,4.41,91
"813",10,4,0.317,4.41,91
"814",10,6,0.224,4.41,91
"815",10,8,0.03,4.41,91
"816",10,10,0.101,4.41,91
"817",11,0,0.06,4.398,91
"818",11,2,0.276,4.398,91
"819",11,4,0.317,4.398,91
"820",11,6,0.201,4.398,91
"821",11,8,0.044,4.398,91
